x, y, z
-0.179921, 0.266909, -0.968611
-0.165459, 0.535875, -0.970599
-0.169870, 0.737600, -0.941572
-0.218955, 0.782082, -0.843508
-0.209993, 0.861219, -1.014101
-0.172754, 1.027384, -1.172563
-0.251635, 1.136749, -1.291409
-0.265021, 1.264549, -1.411062
-0.320836, 1.177294, -1.439766
-0.377956, 1.066076, -1.461294
-0.451314, 0.921627, -1.492699
-0.430038, 0.736997, -1.516253
-0.429340, 0.445936, -1.549177
-0.459334, 0.181864, -1.604388
-0.497088, -0.153519, -1.584760
-0.616957, -0.435574, -1.432711
-0.676341, -0.525045, -1.257639
-0.644585, -0.729477, -1.217887
-0.636026, -0.806507, -1.310144
-0.660125, -0.726951, -1.364078
-0.647682, -0.713060, -1.236681
-0.638349, -0.656865, -1.034323
-0.661867, -0.584201, -0.989365
-0.572695, -0.422892, -1.138752
-0.643144, -0.073029, -1.174499
-0.619687, 0.250404, -1.140274
-0.464765, 0.325132, -1.023052
-0.409609, 0.365920, -0.797807
-0.337724, 0.594874, -0.811978
-0.344846, 0.827625, -0.883642
-0.365446, 1.047965, -0.937389
-0.258826, 1.106408, -1.038735
-0.285672, 0.982394, -1.084227
-0.336324, 0.828348, -1.057311
-0.404831, 0.636520, -1.159194
-0.456211, 0.523166, -1.281383
-0.479488, 0.346598, -1.388283
-0.496945, 0.031067, -1.605788
-0.540555, -0.236099, -1.738398
-0.634298, -0.528027, -1.624233
-0.658829, -0.701196, -1.584386
-0.616192, -0.846331, -1.554500
-0.614732, -0.955183, -1.593121
-0.720448, -1.036822, -1.591570
-0.753959, -0.914945, -1.422559
-0.718057, -0.823538, -1.066919
-0.630096, -0.922829, -0.907001
-0.625160, -0.829451, -0.954909
-0.682493, -0.606830, -0.990840
-0.679716, -0.363569, -1.002529
-0.616599, -0.150607, -0.996038
-0.508225, 0.024374, -0.930134
-0.457463, 0.292939, -0.941741
-0.434650, 0.601174, -1.194587
-0.463317, 0.878126, -1.353704
-0.423781, 1.162135, -1.457783
-0.302577, 1.222553, -1.581618
-0.425297, 1.145797, -1.460872
-0.425784, 1.042453, -1.370312
-0.410891, 1.148051, -1.454980
-0.369203, 1.120438, -1.487964
-0.307420, 1.084469, -1.588995
-0.352635, 0.843869, -1.527440
-0.462841, 0.556608, -1.298168
-0.530236, 0.249609, -1.248284
-0.504489, 0.019360, -1.302424
-0.485178, -0.107550, -1.449840
-0.470695, -0.385838, -1.453591
-0.520868, -0.548778, -1.319075
-0.543239, -0.777795, -1.218188
-0.560017, -0.934298, -1.264593
-0.603118, -0.868570, -1.314656
-0.726997, -0.880310, -1.336944
-0.682577, -0.751785, -1.292625
-0.572968, -0.563839, -1.198351
-0.490761, -0.544949, -1.036092
-0.520659, -0.332418, -0.914398
-0.527823, -0.020432, -0.777351
-0.395867, 0.274593, -0.735601
-0.327418, 0.572156, -0.780583
-0.276081, 0.657999, -0.814319
-0.344390, 0.783416, -0.793845
-0.349845, 0.907997, -0.671677
-0.231866, 1.047208, -0.808934
-0.204417, 1.060065, -0.942394
-0.244866, 1.023930, -1.149300
-0.336237, 0.859500, -1.289221
-0.420025, 0.614108, -1.302609
-0.467606, 0.323252, -1.160062
-0.503293, -0.001702, -1.220999
-0.621610, -0.214899, -1.342995
-0.740866, -0.527385, -1.419234
-0.738755, -0.715974, -1.354342
-0.721913, -0.979485, -1.153086
