x, y, z
-0.671387, 0.183105, -1.464844
-0.427246, -0.183105, -0.854492
-0.427246, -0.122070, -0.671387
-0.427246, 0.366211, -1.281738
-0.366211, 0.366211, -1.464844
-0.488281, 0.183105, -1.342773
-0.244141, 0.244141, -1.525879
-0.244141, 0.305176, -0.976562
-0.366211, 0.122070, -0.549316
-0.427246, 0.427246, -1.037598
-0.366211, 0.488281, -1.281738
-0.488281, 0.244141, -1.220703
-0.366211, 0.305176, -1.464844
-0.549316, -0.122070, -1.037598
-0.427246, -0.183105, -0.671387
-0.549316, 0.244141, -1.098633
-0.427246, 0.305176, -1.281738
-0.305176, 0.427246, -1.464844
-0.610352, 0.488281, -1.281738
