x, y, z
-0.305176, 0.244141, -1.708984
-0.427246, -0.061035, -1.831055
-0.549316, -0.122070, -1.892090
-0.610352, -0.671387, -1.525879
-0.610352, -1.281738, -0.671387
-0.427246, -0.732422, -0.305176
-0.671387, -0.854492, -1.037598
-0.793457, -0.976562, -1.342773
-0.549316, -0.183105, -0.915527
-0.427246, -0.366211, -0.671387
-0.366211, -0.671387, -0.732422
-0.671387, -0.244141, -0.427246
-0.549316, 0.122070, -0.793457
-0.610352, -0.244141, -1.281738
-0.549316, -0.122070, -1.586914
-0.488281, 0.976562, -1.403809
-0.793457, 1.281738, -0.183105
0.122070, 1.647949, -0.305176
0.183105, 1.281738, -0.732422
0.061035, 1.708984, -1.037598
-0.122070, 1.770020, -1.342773
-0.488281, 1.647949, -1.159668
-0.244141, 1.464844, -1.037598
-0.366211, 0.793457, -1.098633
0.000000, 0.793457, -1.403809
0.000000, 0.732422, -1.586914
-0.610352, 0.793457, -1.586914
-0.732422, 0.000000, -1.342773
-0.732422, -1.037598, -1.159668
-0.915527, -0.427246, -1.159668
-0.915527, -1.098633, -1.159668
-0.854492, -0.915527, -1.220703
-0.610352, -0.610352, -0.915527
-0.488281, -1.342773, -1.403809
-0.793457, -1.403809, -1.403809
-1.098633, -1.037598, -0.549316
-0.610352, -0.671387, -0.915527
-0.244141, -0.427246, -1.220703
-0.244141, 0.366211, -0.915527
-0.061035, -0.183105, -1.159668
-0.610352, 0.427246, -0.183105
-0.366211, 0.915527, 0.366211
0.183105, 0.976562, -0.915527
0.000000, 1.770020, -0.976562
-0.305176, 2.014160, -1.220703
-0.122070, 1.464844, -1.464844
-0.122070, 1.586914, -0.976562
-0.549316, 1.464844, -0.976562
-0.305176, 1.037598, -2.014160
-0.305176, 1.037598, -2.197266
-0.366211, 1.037598, -2.136230
0.000000, 0.244141, -1.892090
-0.366211, 0.122070, -1.342773
-0.427246, -0.671387, -1.647949
-0.732422, -0.976562, -1.647949
-0.488281, -0.122070, -1.281738
